,time,nationNm,nationNmEn,natDefCnt,natDeathCnt,natDeathRate
428,20210227T09:00:00Z,캐나다,Canada,855126,21807,2.5501505041
429,20210227T09:00:00Z,멕시코,Mexico,2060908,182815,8.8706046072
430,20210227T09:00:00Z,파나마,Panama,338701,5789,1.7091771208
431,20210227T09:00:00Z,온두라스,Honduras,167494,4076,2.4335200066
432,20210227T09:00:00Z,과테말라,Guatemala,173142,6334,3.6582689353
433,20210227T09:00:00Z,코스타리카,Costa Rica,203496,2793,1.3725085505
434,20210227T09:00:00Z,엘살바도르,Elsalvador,59235,1832,3.0927661011
435,20210227T09:00:00Z,벨리즈,Belize,12271,315,2.5670279520
436,20210227T09:00:00Z,니카라구아,Nicaragua,5142,173,3.3644496304
437,20210227T09:00:00Z,도미니카공화국,Dominican Republic,237629,3075,1.2940339773
438,20210227T09:00:00Z,쿠바,Cuba,47566,312,0.6559307068
439,20210227T09:00:00Z,자메이카,Jamaica,22267,410,1.8412898010
440,20210227T09:00:00Z,트리니다드토바고,Trinidad and Tobago,7690,139,1.8075422626
441,20210227T09:00:00Z,아이티,Haiti,12352,247,1.9996761658
442,20210227T09:00:00Z,바하마,Bahamas,8496,179,2.1068738229
443,20210227T09:00:00Z,바베이도스,Barbados,2907,32,1.1007911936
444,20210227T09:00:00Z,앤티가바부다,Antigua and Barbuda,646,14,2.1671826625
445,20210227T09:00:00Z,그레나다,Grenada,148,1,0.6756756756
446,20210227T09:00:00Z,세인트루시아,Saint Lucia,3149,34,1.0797078437
447,20210227T09:00:00Z,세인트빈센트그레나딘,Saint Vincent and the Grenadines,1526,6,0.3931847968
448,20210227T09:00:00Z,도미니카연방,Commonwealth of Dominica,141,0,0.0
449,20210227T09:00:00Z,세인트키츠네비스,Saint Kitts and Nevis,41,0,0.0
450,20210227T09:00:00Z,브라질,Brazil,10324463,249957,2.4210169574
451,20210227T09:00:00Z,페루,Peru,1300799,45683,3.5119184439
452,20210227T09:00:00Z,에콰도르,Ecuador,278779,15634,5.6080264295
453,20210227T09:00:00Z,칠레,Chile,812344,20310,2.5001723407
454,20210227T09:00:00Z,콜롬비아,Columbia,2237542,59260,2.6484419063
455,20210227T09:00:00Z,아르헨티나,Argentina,2088187,51680,2.4748741372
456,20210227T09:00:00Z,볼리비아,Bolivia,245719,11547,4.6992703046
457,20210227T09:00:00Z,우루과이,Uruguay,54874,591,1.0770127929
458,20210227T09:00:00Z,파라과이,Paraguay,154904,3119,2.0135051386
459,20210227T09:00:00Z,베네수엘라,Venezuela,137445,1331,0.9683873549
460,20210227T09:00:00Z,가이아나,Guyana,8457,192,2.2703086200
461,20210227T09:00:00Z,수리남,Suriname,8892,170,1.9118308591
462,20210227T09:00:00Z,이탈리아,Italy,2868435,96974,3.3807285157
463,20210227T09:00:00Z,독일,Germany,2424684,69519,2.8671365010
464,20210227T09:00:00Z,프랑스,France,3622675,85151,2.3505006659
465,20210227T09:00:00Z,영국,United Kingdom,4154566,122070,2.9382130407
466,20210227T09:00:00Z,스페인,Spain,3180212,68813,2.1637865651
467,20210227T09:00:00Z,오스트리아,Austria,449146,8356,1.8604195517
468,20210227T09:00:00Z,크로아티아,Croatia,242097,5503,2.2730558412
469,20210227T09:00:00Z,핀란드,Finland,55687,740,1.3288559268
470,20210227T09:00:00Z,스웨덴,Sweden,652465,12798,1.9614845240
471,20210227T09:00:00Z,스위스,Switzerland,551227,9211,1.6709994249
472,20210227T09:00:00Z,벨기에,Belgium,763885,22006,2.8808001204
473,20210227T09:00:00Z,덴마크,Denmark,209682,2351,1.1212216594
474,20210227T09:00:00Z,에스토니아,Estonia,62830,575,0.9151679134
475,20210227T09:00:00Z,조지아,Georgia,270137,3485,1.2900861414
476,20210227T09:00:00Z,그리스,Greece,186469,6410,3.4375687111
477,20210227T09:00:00Z,북마케도니아,North Macedonia,101214,3111,3.0736854585
478,20210227T09:00:00Z,노르웨이,Norway,69489,620,0.8922275468
479,20210227T09:00:00Z,루마니아,Romania,791971,20167,2.5464316243
480,20210227T09:00:00Z,네덜란드,Netherlands,1073971,15438,1.4374689819
481,20210227T09:00:00Z,벨라루스,Belarus,282898,1948,0.6885874060
482,20210227T09:00:00Z,리투아니아,Lithuania,196690,3225,1.6396359753
483,20210227T09:00:00Z,산마리노,San Marino,3621,73,2.0160176746
484,20210227T09:00:00Z,아제르바이잔,Azerbaijan,233770,3209,1.3727167728
485,20210227T09:00:00Z,아이슬란드,Iceland,6049,29,0.4794180856
486,20210227T09:00:00Z,모나코,Monaco,1932,23,1.1904761904
487,20210227T09:00:00Z,룩셈부르크,Luxemburg,54871,634,1.1554372983
488,20210227T09:00:00Z,아르메니아,Armenia,171510,3183,1.8558684624
489,20210227T09:00:00Z,아일랜드,Ireland,217478,4271,1.9638768059
490,20210227T09:00:00Z,체코,Czech Republic,1212780,19999,1.6490212569
491,20210227T09:00:00Z,포르투갈,Portugal,801746,16185,2.0187191454
492,20210227T09:00:00Z,라트비아,Latvia,84258,1593,1.8906216620
493,20210227T09:00:00Z,안도라,Andorra,10799,110,1.0186128345
494,20210227T09:00:00Z,폴란드,Poland,1684788,43353,2.5732020883
495,20210227T09:00:00Z,우크라이나,Ukraine,1333844,25742,1.9299108441
496,20210227T09:00:00Z,헝가리,Hungary,419182,14795,3.5294931557
497,20210227T09:00:00Z,보스니아 헤르체고비나,Bosnia and Herzegovina,130510,5062,3.8786299900
498,20210227T09:00:00Z,슬로베니아,Slovenia,187762,4087,2.1766917693
499,20210227T09:00:00Z,리히텐슈타인,Liechtenstein,2640,52,1.9696969696
500,20210227T09:00:00Z,세르비아,Serbia,449901,4398,0.9775483939
501,20210227T09:00:00Z,슬로바키아,Slovakia,303420,6966,2.2958275657
502,20210227T09:00:00Z,불가리아,Bulgaria,243946,10079,4.1316520869
503,20210227T09:00:00Z,몰타,Malta,21724,311,1.4315963910
504,20210227T09:00:00Z,몰도바,Moldova,181886,3871,2.1282561604
505,20210227T09:00:00Z,알바니아,Albania,104313,1736,1.6642221007
506,20210227T09:00:00Z,사이프러스,Cyprus,33909,231,0.6812350703
507,20210227T09:00:00Z,터키,Turkey,2674766,28358,1.0602048926
508,20210227T09:00:00Z,몬테네그로,Montegro,74182,976,1.3156830497
509,20210227T09:00:00Z,코소보,Kosovo,67899,1577,2.3225673426
510,20210227T09:00:00Z,러시아,Russia,4223186,85304,2.0198968267
511,20210227T09:00:00Z,호주,Australia,28947,909,3.1402217846
512,20210227T09:00:00Z,뉴질랜드,New Zealand,2015,26,1.2903225806
513,20210227T09:00:00Z,피지,Fiji,57,2,3.5087719298
514,20210227T09:00:00Z,파푸아뉴기니,Papua New Guinea,1228,12,0.9771986970
515,20210227T09:00:00Z,마셜제도,Marshall Islands,4,0,0.0
516,20210227T09:00:00Z,솔로몬제도,Solomon Islands,18,0,0.0
517,20210227T09:00:00Z,바누아투,Vanuatu,1,0,0.0
518,20210227T09:00:00Z,미크로네시아,Micronesia (Federated States of),0,0,0.0
519,20210227T09:00:00Z,나이지리아,Nigeria,154476,1891,1.2241383774
520,20210227T09:00:00Z,세네갈,Senegal,33741,852,2.5251178091
521,20210227T09:00:00Z,카메룬,Cameroon,33749,523,1.5496755459
522,20210227T09:00:00Z,남아프리카공화국,Republic of South Africa,1509124,49667,3.2911145803
523,20210227T09:00:00Z,토고,Togo,6637,82,1.2354979659
524,20210227T09:00:00Z,부르키나파소,Burkina Faso,11914,142,1.1918751049
525,20210227T09:00:00Z,DR콩고,DRCongo,25144,700,2.7839643652
526,20210227T09:00:00Z,코트디부아르,Cote d&acute;Ivoire,32295,188,0.5821334571
527,20210227T09:00:00Z,수단,Sudan,30284,1878,6.2012944128
