,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
82,20200424T00:00:00Z,10708,240,8501,589520,9600,569212,6,0,90,-539
83,20200425T00:00:00Z,12801,240,10718,597244,9259,575184,2093,0,2217,-341
84,20200426T00:00:00Z,10728,242,8717,598285,8999,578558,10,2,82,-260
85,20200427T00:00:00Z,10738,243,8764,601660,8895,582027,10,1,47,-104
86,20200428T00:00:00Z,10752,244,8854,608514,9203,588559,14,1,90,308
87,20200429T00:00:00Z,10761,246,8922,614197,8307,595129,9,2,68,-896
88,20200430T00:00:00Z,10765,247,9059,619881,8634,600482,4,1,137,327
89,20200501T00:00:00Z,10774,248,9072,623069,8685,603610,9,1,13,51
90,20200502T00:00:00Z,10780,250,9123,627562,8496,608286,6,2,51,-189
91,20200503T00:00:00Z,10793,250,9183,630973,8588,611592,13,0,60,92
92,20200504T00:00:00Z,10801,252,9217,633921,8176,614944,8,2,34,-412
93,20200505T00:00:00Z,10804,254,9283,640237,8858,620575,3,2,66,682
94,20200506T00:00:00Z,10806,255,9333,643095,8009,624280,2,1,50,-849
95,20200507T00:00:00Z,10810,256,9419,649388,8429,630149,4,1,86,420
96,20200508T00:00:00Z,10822,256,9484,654863,8867,635174,12,0,65,438
97,20200509T00:00:00Z,10840,256,9568,660030,9153,640037,18,0,84,286
98,20200510T00:00:00Z,10874,256,9610,663886,10128,642884,34,0,42,975
99,20200511T00:00:00Z,10909,256,9632,668492,10922,646661,35,0,22,794
100,20200512T00:00:00Z,10936,258,9670,680890,16330,653624,27,2,38,5408
101,20200513T00:00:00Z,10962,259,9695,695920,19579,665379,26,1,25,3249
102,20200514T00:00:00Z,10991,260,9762,711484,20722,679771,29,1,67,1143
103,20200515T00:00:00Z,11018,260,9821,726747,19875,695854,27,0,59,-847
104,20200516T00:00:00Z,11037,262,9851,740645,18343,711265,19,2,30,-1532
105,20200517T00:00:00Z,11050,262,9888,747653,17660,718943,13,0,37,-683
106,20200518T00:00:00Z,11065,263,9904,753211,16093,726053,15,1,16,-1567
107,20200519T00:00:00Z,11078,263,9938,765574,16925,737571,13,0,34,832
108,20200520T00:00:00Z,11110,263,10066,776433,16351,748972,32,0,128,-574
109,20200521T00:00:00Z,11122,264,10135,788684,18089,759473,12,1,69,1738
110,20200522T00:00:00Z,11142,264,10162,802418,20286,770990,20,0,27,2197
111,20200523T00:00:00Z,11165,266,10194,814420,21569,781686,23,2,32,1283
112,20200524T00:00:00Z,11190,266,10213,820289,20333,788766,25,0,19,-1236
113,20200525T00:00:00Z,11206,267,10226,826437,19089,796142,16,1,13,-1244
114,20200526T00:00:00Z,11225,269,10275,839475,22044,806206,19,2,49,2955
