,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
332,20201230T00:00:00Z,59772,879,41435,4159521,171771,3927978,1050,20,732,809
333,20201231T00:00:00Z,60739,900,42270,4213879,170338,3982802,967,21,835,-1433
334,20210101T00:00:00Z,61767,917,42953,4269316,176927,4030622,1028,17,683,6589
335,20210102T00:00:00Z,62587,942,43578,4302793,179387,4060819,820,25,625,2460
336,20210103T00:00:00Z,63244,962,44507,4340838,186472,4091122,657,20,929,7085
337,20210104T00:00:00Z,64264,981,45240,4376608,190732,4121612,1020,19,733,4260
338,20210105T00:00:00Z,64978,1007,46172,4439360,193751,4180631,714,26,932,3019
339,20210106T00:00:00Z,65816,1027,46995,4504866,192082,4246968,838,20,823,-1669
340,20210107T00:00:00Z,66684,1046,47649,4569808,191762,4311362,868,19,654,-320
341,20210108T00:00:00Z,67358,1081,48369,4630004,190452,4372194,674,35,720,-1310
342,20210109T00:00:00Z,67999,1100,49324,4689616,185923,4435694,641,19,955,-4529
343,20210110T00:00:00Z,68663,1125,50409,4723463,191454,4463346,664,25,1085,5531
344,20210111T00:00:00Z,69114,1140,52552,4751685,189763,4492808,451,15,2143,-1691
345,20210112T00:00:00Z,69650,1165,53569,4814085,186770,4557665,536,25,1017,-2993
346,20210113T00:00:00Z,70204,1185,54636,4872312,182914,4619194,554,20,1067,-3856
347,20210114T00:00:00Z,70728,1195,55772,4925359,169742,4684889,524,10,1136,-13172
348,20210115T00:00:00Z,71240,1217,56536,4978074,162323,4744511,512,22,764,-7419
349,20210116T00:00:00Z,71820,1236,57554,5032270,155639,4804811,580,19,1018,-6684
350,20210117T00:00:00Z,72340,1249,58253,5061290,159385,4829565,520,13,699,3746
351,20210118T00:00:00Z,72729,1264,58723,5087220,158035,4856456,389,15,470,-1350
352,20210119T00:00:00Z,73114,1283,59468,5140325,154345,4912866,385,19,745,-3690
353,20210120T00:00:00Z,73517,1300,60180,5192128,148141,4970470,403,17,712,-6204
354,20210121T00:00:00Z,73916,1316,60846,5237606,141070,5022620,399,16,666,-7071
355,20210122T00:00:00Z,74261,1328,61415,5282223,133132,5074830,345,12,569,-7938
356,20210123T00:00:00Z,74692,1337,62044,5329707,136629,5118386,431,9,629,3497
357,20210124T00:00:00Z,75084,1349,62530,5354349,135765,5143500,392,12,486,-864
358,20210125T00:00:00Z,75521,1360,62956,5376086,134549,5166016,437,11,426,-1216
359,20210126T00:00:00Z,75870,1371,64793,5422768,138624,5208274,349,11,1837,4075
360,20210127T00:00:00Z,76429,1378,65478,5469247,138427,5254391,559,7,685,-197
361,20210128T00:00:00Z,76926,1386,66016,5522189,139424,5305839,497,8,538,997
362,20210129T00:00:00Z,77395,1399,66503,5569264,142753,5349116,469,13,487,3329
363,20210130T00:00:00Z,77848,1414,67121,5616528,145795,5392885,453,15,618,3042
364,20210131T00:00:00Z,78203,1420,67878,5640818,149550,5413065,355,6,757,3755
365,20210201T00:00:00Z,78508,1425,68309,5661842,149456,5433878,305,5,431,-94
366,20210202T00:00:00Z,78843,1435,68775,5711412,154265,5478304,335,10,466,4809
367,20210203T00:00:00Z,79310,1441,69299,5756713,138849,5538554,467,6,524,-15416
368,20210204T00:00:00Z,79761,1448,69704,5803094,120538,5602795,451,7,405,-18311
369,20210205T00:00:00Z,80131,1459,70117,5847178,107457,5659590,370,11,413,-13081
370,20210206T00:00:00Z,80524,1464,70505,5893353,97677,5715152,393,5,388,-9780
371,20210207T00:00:00Z,80895,1471,70865,5916974,90751,5745328,371,7,360,-6926
372,20210208T00:00:00Z,81183,1474,71218,5938195,84843,5772169,288,3,353,-5908
373,20210209T00:00:00Z,81486,1482,71676,5987405,82630,5823289,303,8,458,-2213
374,20210210T00:00:00Z,81930,1486,72226,6030023,80076,5868017,444,4,550,-2554
375,20210211T00:00:00Z,82434,1496,72638,6070008,81614,5905960,504,10,412,1538
376,20210212T00:00:00Z,82837,1507,72936,6093369,80861,5929671,403,11,298,-753
377,20210213T00:00:00Z,83199,1514,73227,6115337,70251,5961887,362,7,291,-10610
378,20210214T00:00:00Z,83525,1522,73559,6140086,78200,5978361,326,8,332,7949
379,20210215T00:00:00Z,83868,1527,73794,6162859,80146,5998845,343,5,235,1946
380,20210216T00:00:00Z,84325,1534,74551,6213490,76897,6052268,457,7,757,-3249
381,20210217T00:00:00Z,84946,1538,75360,6260567,72410,6103211,621,4,809,-4487
382,20210218T00:00:00Z,85567,1544,75896,6303214,70720,6146927,621,6,536,-1690
383,20210219T00:00:00Z,86128,1550,76513,6345992,71116,6188748,561,6,617,396
384,20210220T00:00:00Z,86576,1553,77083,6390631,76137,6227918,448,3,570,5021
385,20210221T00:00:00Z,86992,1557,77516,6411340,73356,6250992,416,4,433,-2781
386,20210222T00:00:00Z,87324,1562,77887,6429144,72461,6269359,332,5,371,-895
387,20210223T00:00:00Z,87680,1573,78394,6472678,74065,6310933,356,11,507,1604
388,20210224T00:00:00Z,88120,1576,79050,6510988,74988,6347880,440,3,656,923
