time,City,Confirmed,Death,Recovered,Incidence
117,20200310T00:00:00Z,경기,163,1,22,1.23
118,20200310T00:00:00Z,강원,28,1,6,1.82
119,20200310T00:00:00Z,충북,25,0,3,1.56
120,20200310T00:00:00Z,충남,104,0,1,4.90
121,20200310T00:00:00Z,전북,7,0,2,0.39
122,20200310T00:00:00Z,전남,4,0,1,0.21
123,20200310T00:00:00Z,경북,1117,14,60,41.95
124,20200310T00:00:00Z,경남,83,0,10,2.47
125,20200310T00:00:00Z,제주,4,0,1,0.60
126,20200311T00:00:00Z,합계,7755,60,288,14.96
127,20200311T00:00:00Z,서울,193,0,37,1.98
128,20200311T00:00:00Z,부산,98,1,21,2.87
129,20200311T00:00:00Z,대구,5794,43,102,237.80
130,20200311T00:00:00Z,인천,25,0,3,0.85
131,20200311T00:00:00Z,광주,15,0,3,1.03
132,20200311T00:00:00Z,대전,18,0,2,1.22
133,20200311T00:00:00Z,울산,25,0,2,2.18
134,20200311T00:00:00Z,세종,10,0,0,2.92
135,20200311T00:00:00Z,경기,175,1,25,1.32
136,20200311T00:00:00Z,강원,29,1,6,1.88
137,20200311T00:00:00Z,충북,27,0,3,1.69
138,20200311T00:00:00Z,충남,112,0,1,5.28
139,20200311T00:00:00Z,전북,7,0,2,0.39
140,20200311T00:00:00Z,전남,4,0,1,0.21
141,20200311T00:00:00Z,경북,1135,14,69,42.63
142,20200311T00:00:00Z,경남,84,0,10,2.50
143,20200311T00:00:00Z,제주,4,0,1,0.60
144,20200312T00:00:00Z,합계,7869,66,333,15.18
145,20200312T00:00:00Z,서울,212,0,38,2.18
146,20200312T00:00:00Z,부산,99,0,29,2.90
147,20200312T00:00:00Z,대구,5867,48,114,240.80
148,20200312T00:00:00Z,인천,25,0,4,0.85
149,20200312T00:00:00Z,광주,15,0,4,1.03
150,20200312T00:00:00Z,대전,20,0,2,1.36
151,20200312T00:00:00Z,울산,25,0,3,2.18
152,20200312T00:00:00Z,세종,15,0,0,4.38
153,20200312T00:00:00Z,경기,178,1,27,1.34
154,20200312T00:00:00Z,강원,29,1,6,1.88
155,20200312T00:00:00Z,충북,27,0,4,1.69
156,20200312T00:00:00Z,충남,114,0,5,5.37
157,20200312T00:00:00Z,전북,7,0,2,0.39
158,20200312T00:00:00Z,전남,4,0,1,0.21
159,20200312T00:00:00Z,경북,1143,16,83,42.93
160,20200312T00:00:00Z,경남,85,0,10,2.53
161,20200312T00:00:00Z,제주,4,0,1,0.60
162,20200313T00:00:00Z,합계,7979,67,510,15.39
163,20200313T00:00:00Z,서울,225,0,40,2.31
164,20200313T00:00:00Z,부산,100,0,36,2.93
165,20200313T00:00:00Z,대구,5928,48,251,243.30
166,20200313T00:00:00Z,인천,27,0,4,0.91
167,20200313T00:00:00Z,광주,15,0,4,1.03
168,20200313T00:00:00Z,대전,22,0,4,1.49
169,20200313T00:00:00Z,울산,27,0,3,2.35
170,20200313T00:00:00Z,세종,32,0,0,9.35
171,20200313T00:00:00Z,경기,185,2,31,1.40
172,20200313T00:00:00Z,강원,29,1,6,1.88
173,20200313T00:00:00Z,충북,27,0,4,1.69
174,20200313T00:00:00Z,충남,115,0,7,5.42
175,20200313T00:00:00Z,전북,7,0,4,0.39
176,20200313T00:00:00Z,전남,4,0,1,0.21
177,20200313T00:00:00Z,경북,1147,16,103,43.08
178,20200313T00:00:00Z,경남,85,0,11,2.53
179,20200313T00:00:00Z,제주,4,0,1,0.60
180,20200314T00:00:00Z,합계,8086,72,714,15.6
181,20200314T00:00:00Z,서울,238,0,44,2.45
182,20200314T00:00:00Z,부산,103,0,40,3.02
183,20200314T00:00:00Z,대구,5990,51,401,245.85
184,20200314T00:00:00Z,인천,28,0,4,0.95
185,20200314T00:00:00Z,광주,15,0,4,1.03
186,20200314T00:00:00Z,대전,22,0,4,1.49
187,20200314T00:00:00Z,울산,27,0,5,2.35
188,20200314T00:00:00Z,세종,38,0,0,11.10
189,20200314T00:00:00Z,경기,200,3,36,1.51
190,20200314T00:00:00Z,강원,29,1,6,1.88
191,20200314T00:00:00Z,충북,28,0,5,1.75
192,20200314T00:00:00Z,충남,115,0,9,5.42
193,20200314T00:00:00Z,전북,7,0,4,0.39
194,20200314T00:00:00Z,전남,4,0,2,0.21
195,20200314T00:00:00Z,경북,1153,17,138,43.31
196,20200314T00:00:00Z,경남,85,0,11,2.53
197,20200314T00:00:00Z,제주,4,0,1,0.60
198,20200315T00:00:00Z,합계,8162,75,834,15.74
199,20200315T00:00:00Z,서울,247,0,47,2.54
200,20200315T00:00:00Z,부산,106,1,52,3.11
201,20200315T00:00:00Z,대구,6031,53,468,247.53
202,20200315T00:00:00Z,인천,30,0,4,1.01
203,20200315T00:00:00Z,광주,16,0,4,1.10
204,20200315T00:00:00Z,대전,22,0,4,1.49
205,20200315T00:00:00Z,울산,28,0,6,2.44
206,20200315T00:00:00Z,세종,39,0,0,11.39
207,20200315T00:00:00Z,경기,211,3,40,1.59
208,20200315T00:00:00Z,강원,29,1,7,1.88
