time,gubun,confCase,confCaseRate,death,deathRate,criticalRate
0,20200408T11:00:00Z,남성,4163,40.09,106,53.00,2.55
1,20200408T11:00:00Z,여성,6221,59.91,94,47.00,1.51
2,20200408T11:00:00Z,80 이상,470,4.53,96,48.00,20.43
3,20200408T11:00:00Z,70-79,692,6.66,60,30.00,8.67
4,20200408T11:00:00Z,60-69,1312,12.63,27,13.50,2.06
5,20200408T11:00:00Z,50-59,1915,18.44,13,6.50,0.68
6,20200408T11:00:00Z,40-49,1387,13.36,3,1.50,0.22
7,20200408T11:00:00Z,30-39,1102,10.61,1,0.50,0.09
8,20200408T11:00:00Z,20-29,2832,27.27,0,0.00,0
9,20200408T11:00:00Z,10-19,548,5.28,0,0.00,0
10,20200408T11:00:00Z,0-9,126,1.21,0,0.00,0
11,20200409T10:00:00Z,남성,4185,40.15,107,52.45,2.56
12,20200409T10:00:00Z,여성,6238,59.85,97,47.55,1.55
13,20200409T10:00:00Z,80 이상,473,4.54,100,49.02,21.14
14,20200409T10:00:00Z,70-79,692,6.64,60,29.41,8.67
15,20200409T10:00:00Z,60-69,1314,12.61,27,13.24,2.05
16,20200409T10:00:00Z,50-59,1917,18.39,13,6.37,0.68
17,20200409T10:00:00Z,40-49,1394,13.37,3,1.47,0.22
18,20200409T10:00:00Z,30-39,1109,10.64,1,0.49,0.09
19,20200409T10:00:00Z,20-29,2844,27.29,0,0.00,0
20,20200409T10:00:00Z,10-19,552,5.3,0,0.00,0
21,20200409T10:00:00Z,0-9,128,1.23,0,0.00,0
22,20200410T10:00:00Z,남성,4200,40.19,109,52.40,2.6
23,20200410T10:00:00Z,여성,6250,59.81,99,47.60,1.58
24,20200410T10:00:00Z,80 이상,474,4.54,101,48.56,21.31
25,20200410T10:00:00Z,70-79,694,6.64,62,29.81,8.93
26,20200410T10:00:00Z,60-69,1320,12.63,28,13.46,2.12
27,20200410T10:00:00Z,50-59,1920,18.37,13,6.25,0.68
28,20200410T10:00:00Z,40-49,1396,13.36,3,1.44,0.21
29,20200410T10:00:00Z,30-39,1113,10.65,1,0.48,0.09
30,20200410T10:00:00Z,20-29,2851,27.28,0,0.00,0
31,20200410T10:00:00Z,10-19,553,5.29,0,0.00,0
32,20200410T10:00:00Z,0-9,129,1.23,0,0.00,0
33,20200411T10:00:00Z,남성,4215,40.22,111,52.61,2.63
34,20200411T10:00:00Z,여성,6265,59.78,100,47.39,1.6
35,20200411T10:00:00Z,80 이상,475,4.53,101,47.87,21.26
36,20200411T10:00:00Z,70-79,694,6.62,63,29.86,9.08
37,20200411T10:00:00Z,60-69,1327,12.66,29,13.74,2.19
38,20200411T10:00:00Z,50-59,1926,18.38,14,6.64,0.73
39,20200411T10:00:00Z,40-49,1399,13.35,3,1.42,0.21
40,20200411T10:00:00Z,30-39,1115,10.64,1,0.47,0.09
41,20200411T10:00:00Z,20-29,2856,27.25,0,0.00,0
42,20200411T10:00:00Z,10-19,558,5.32,0,0.00,0
43,20200411T10:00:00Z,0-9,130,1.24,0,0.00,0
44,20200412T10:00:00Z,남성,4229,40.23,113,52.80,2.67
45,20200412T10:00:00Z,여성,6283,59.77,101,47.20,1.61
46,20200412T10:00:00Z,80 이상,475,4.52,102,47.66,21.47
47,20200412T10:00:00Z,70-79,697,6.63,63,29.44,9.04
48,20200412T10:00:00Z,60-69,1330,12.65,31,14.49,2.33
49,20200412T10:00:00Z,50-59,1930,18.36,14,6.54,0.73
50,20200412T10:00:00Z,40-49,1400,13.32,3,1.40,0.21
51,20200412T10:00:00Z,30-39,1120,10.65,1,0.47,0.09
52,20200412T10:00:00Z,20-29,2869,27.29,0,0.00,0
53,20200412T10:00:00Z,10-19,561,5.34,0,0.00,0
54,20200412T10:00:00Z,0-9,130,1.24,0,0.00,0
55,20200413T10:00:00Z,남성,4243,40.27,115,53.00,2.71
56,20200413T10:00:00Z,여성,6294,59.73,102,47.00,1.62
57,20200413T10:00:00Z,80 이상,476,4.52,103,47.47,21.64
58,20200413T10:00:00Z,70-79,698,6.62,64,29.49,9.17
59,20200413T10:00:00Z,60-69,1335,12.67,32,14.75,2.4
60,20200413T10:00:00Z,50-59,1932,18.34,14,6.45,0.72
61,20200413T10:00:00Z,40-49,1401,13.3,3,1.38,0.21
62,20200413T10:00:00Z,30-39,1122,10.65,1,0.46,0.09
63,20200413T10:00:00Z,20-29,2879,27.32,0,0.00,0
64,20200413T10:00:00Z,10-19,562,5.33,0,0.00,0
65,20200413T10:00:00Z,0-9,132,1.25,0,0.00,0
66,20200414T10:00:00Z,남성,4256,40.29,116,52.25,2.73
67,20200414T10:00:00Z,여성,6308,59.71,106,47.75,1.68
68,20200414T10:00:00Z,80 이상,477,4.52,106,47.75,22.22
69,20200414T10:00:00Z,70-79,700,6.63,65,29.28,9.29
70,20200414T10:00:00Z,60-69,1338,12.67,33,14.86,2.47
71,20200414T10:00:00Z,50-59,1935,18.32,14,6.31,0.72
72,20200414T10:00:00Z,40-49,1405,13.3,3,1.35,0.21
73,20200414T10:00:00Z,30-39,1126,10.66,1,0.45,0.09
74,20200414T10:00:00Z,20-29,2886,27.32,0,0.00,0
75,20200414T10:00:00Z,10-19,565,5.35,0,0.00,0
76,20200414T10:00:00Z,0-9,132,1.25,0,0.00,0
77,20200415T15:00:00Z,남성,4266,40.28,118,52.44,2.77
78,20200415T15:00:00Z,여성,6325,59.72,107,47.56,1.69
79,20200415T15:00:00Z,80 이상,478,4.51,106,47.11,22.18
80,20200415T15:00:00Z,70-79,702,6.63,68,30.22,9.69
81,20200415T15:00:00Z,60-69,1339,12.64,33,14.67,2.46
82,20200415T15:00:00Z,50-59,1937,18.29,14,6.22,0.72
83,20200415T15:00:00Z,40-49,1408,13.29,3,1.33,0.21
84,20200415T15:00:00Z,30-39,1131,10.68,1,0.44,0.09
85,20200415T15:00:00Z,20-29,2895,27.33,0,0.00,0
86,20200415T15:00:00Z,10-19,569,5.37,0,0.00,0
87,20200415T15:00:00Z,0-9,132,1.25,0,0.00,0
88,20200416T16:00:00Z,남성,4272,40.25,122,53.28,2.86
89,20200416T16:00:00Z,여성,6341,59.75,107,46.72,1.69
90,20200416T16:00:00Z,80 이상,480,4.52,110,48.03,22.92
91,20200416T16:00:00Z,70-79,703,6.62,68,29.69,9.67
92,20200416T16:00:00Z,60-69,1341,12.64,33,14.41,2.46
93,20200416T16:00:00Z,50-59,1940,18.28,14,6.11,0.72
94,20200416T16:00:00Z,40-49,1410,13.29,3,1.31,0.21
95,20200416T16:00:00Z,30-39,1132,10.67,1,0.44,0.09
96,20200416T16:00:00Z,20-29,2900,27.32,0,0.00,0
97,20200416T16:00:00Z,10-19,572,5.39,0,0.00,0
98,20200416T16:00:00Z,0-9,135,1.27,0,0.00,0
99,20200417T10:00:00Z,남성,4286,40.3,122,53.04,2.85
100,20200417T10:00:00Z,여성,6349,59.7,108,46.96,1.7
101,20200417T10:00:00Z,80 이상,480,4.51,111,48.26,23.13
102,20200417T10:00:00Z,70-79,704,6.62,68,29.57,9.66
103,20200417T10:00:00Z,60-69,1342,12.62,33,14.35,2.46
104,20200417T10:00:00Z,50-59,1942,18.26,14,6.09,0.72
105,20200417T10:00:00Z,40-49,1411,13.27,3,1.30,0.21
106,20200417T10:00:00Z,30-39,1135,10.67,1,0.43,0.09
107,20200417T10:00:00Z,20-29,2909,27.35,0,0.00,0
108,20200417T10:00:00Z,10-19,576,5.42,0,0.00,0
109,20200417T10:00:00Z,0-9,136,1.28,0,0.00,0
110,20200418T10:00:00Z,남성,4293,40.3,124,53.45,2.89
111,20200418T10:00:00Z,여성,6360,59.7,108,46.55,1.7
112,20200418T10:00:00Z,80 이상,481,4.52,112,48.28,23.28
113,20200418T10:00:00Z,70-79,705,6.62,68,29.31,9.65
114,20200418T10:00:00Z,60-69,1343,12.61,33,14.22,2.46
115,20200418T10:00:00Z,50-59,1944,18.25,15,6.47,0.77
116,20200418T10:00:00Z,40-49,1412,13.25,3,1.29,0.21
117,20200418T10:00:00Z,30-39,1136,10.66,1,0.43,0.09
118,20200418T10:00:00Z,20-29,2918,27.39,0,0.00,0
119,20200418T10:00:00Z,10-19,576,5.41,0,0.00,0
120,20200418T10:00:00Z,0-9,138,1.3,0,0.00,0
121,20200419T11:00:00Z,남성,4297,40.31,124,52.99,2.89
122,20200419T11:00:00Z,여성,6364,59.69,110,47.01,1.73
123,20200419T11:00:00Z,80 이상,482,4.52,112,47.86,23.24
124,20200419T11:00:00Z,70-79,705,6.61,68,29.06,9.65
125,20200419T11:00:00Z,60-69,1343,12.6,34,14.53,2.53
126,20200419T11:00:00Z,50-59,1945,18.24,15,6.41,0.77
127,20200419T11:00:00Z,40-49,1412,13.24,3,1.28,0.21
128,20200419T11:00:00Z,30-39,1137,10.67,2,0.85,0.18
129,20200419T11:00:00Z,20-29,2921,27.4,0,0.00,0
130,20200419T11:00:00Z,10-19,578,5.42,0,0.00,0
131,20200419T11:00:00Z,0-9,138,1.29,0,0.00,0
132,20200420T10:00:00Z,남성,4302,40.3,125,52.97,2.91
133,20200420T10:00:00Z,여성,6372,59.7,111,47.03,1.74
134,20200420T10:00:00Z,80 이상,482,4.52,113,47.88,23.44
135,20200420T10:00:00Z,70-79,705,6.6,69,29.24,9.79
136,20200420T10:00:00Z,60-69,1343,12.58,34,14.41,2.53
137,20200420T10:00:00Z,50-59,1948,18.25,15,6.36,0.77
138,20200420T10:00:00Z,40-49,1412,13.23,3,1.27,0.21
139,20200420T10:00:00Z,30-39,1139,10.67,2,0.85,0.18
140,20200420T10:00:00Z,20-29,2926,27.41,0,0.00,0
141,20200420T10:00:00Z,10-19,581,5.44,0,0.00,0
142,20200420T10:00:00Z,0-9,138,1.29,0,0.00,0
143,20200421T10:00:00Z,남성,4308,40.33,125,52.74,2.9
144,20200421T10:00:00Z,여성,6375,59.67,112,47.26,1.76
145,20200421T10:00:00Z,80 이상,483,4.52,113,47.68,23.4
146,20200421T10:00:00Z,70-79,706,6.61,70,29.54,9.92
147,20200421T10:00:00Z,60-69,1343,12.57,34,14.35,2.53
148,20200421T10:00:00Z,50-59,1951,18.26,15,6.33,0.77
149,20200421T10:00:00Z,40-49,1413,13.23,3,1.27,0.21
150,20200421T10:00:00Z,30-39,1139,10.66,2,0.84,0.18
151,20200421T10:00:00Z,20-29,2928,27.41,0,0.00,0
152,20200421T10:00:00Z,10-19,582,5.45,0,0.00,0
153,20200421T10:00:00Z,0-9,138,1.29,0,0.00,0
154,20200422T10:00:00Z,남성,4314,40.34,126,52.94,2.92
155,20200422T10:00:00Z,여성,6380,59.66,112,47.06,1.76
156,20200422T10:00:00Z,80 이상,483,4.52,113,47.48,23.4
157,20200422T10:00:00Z,70-79,707,6.61,71,29.83,10.04
158,20200422T10:00:00Z,60-69,1344,12.57,34,14.29,2.53
159,20200422T10:00:00Z,50-59,1951,18.24,15,6.30,0.77
160,20200422T10:00:00Z,40-49,1417,13.25,3,1.26,0.21
161,20200422T10:00:00Z,30-39,1140,10.66,2,0.84,0.18
162,20200422T10:00:00Z,20-29,2931,27.41,0,0.00,0
163,20200422T10:00:00Z,10-19,583,5.45,0,0.00,0
164,20200422T10:00:00Z,0-9,138,1.29,0,0.00,0
165,20200423T10:00:00Z,남성,4318,40.35,127,52.92,2.94
166,20200423T10:00:00Z,여성,6384,59.65,113,47.08,1.77
167,20200423T10:00:00Z,80 이상,484,4.52,114,47.50,23.55
168,20200423T10:00:00Z,70-79,708,6.62,71,29.58,10.03
169,20200423T10:00:00Z,60-69,1344,12.56,35,14.58,2.6
170,20200423T10:00:00Z,50-59,1952,18.24,15,6.25,0.77
171,20200423T10:00:00Z,40-49,1418,13.25,3,1.25,0.21
172,20200423T10:00:00Z,30-39,1141,10.66,2,0.83,0.18
173,20200423T10:00:00Z,20-29,2933,27.41,0,0.00,0
174,20200423T10:00:00Z,10-19,584,5.46,0,0.00,0
175,20200423T10:00:00Z,0-9,138,1.29,0,0.00,0
176,20200424T10:00:00Z,남성,4323,40.37,127,52.92,2.94
177,20200424T10:00:00Z,여성,6385,59.63,113,47.08,1.77
178,20200424T10:00:00Z,80 이상,485,4.53,114,47.50,23.51
179,20200424T10:00:00Z,70-79,708,6.61,71,29.58,10.03
180,20200424T10:00:00Z,60-69,1345,12.56,35,14.58,2.6
181,20200424T10:00:00Z,50-59,1953,18.24,15,6.25,0.77
182,20200424T10:00:00Z,40-49,1418,13.24,3,1.25,0.21
183,20200424T10:00:00Z,30-39,1142,10.66,2,0.83,0.18
184,20200424T10:00:00Z,20-29,2934,27.4,0,0.00,0
185,20200424T10:00:00Z,10-19,585,5.46,0,0.00,0
186,20200424T10:00:00Z,0-9,138,1.29,0,0.00,0
187,20200425T10:00:00Z,남성,4327,40.37,127,52.92,2.94
188,20200425T10:00:00Z,여성,6391,59.63,113,47.08,1.77
189,20200425T10:00:00Z,80 이상,485,4.53,114,47.50,23.51
190,20200425T10:00:00Z,70-79,708,6.61,71,29.58,10.03
191,20200425T10:00:00Z,60-69,1347,12.57,35,14.58,2.6
192,20200425T10:00:00Z,50-59,1953,18.22,15,6.25,0.77
193,20200425T10:00:00Z,40-49,1420,13.25,3,1.25,0.21
194,20200425T10:00:00Z,30-39,1143,10.66,2,0.83,0.17
195,20200425T10:00:00Z,20-29,2937,27.4,0,0.00,0
196,20200425T10:00:00Z,10-19,586,5.47,0,0.00,0
197,20200425T10:00:00Z,0-9,139,1.3,0,0.00,0
198,20200426T10:00:00Z,남성,4333,40.39,127,52.48,2.93
199,20200426T10:00:00Z,여성,6395,59.61,115,47.52,1.8
200,20200426T10:00:00Z,80 이상,485,4.52,115,47.52,23.71
201,20200426T10:00:00Z,70-79,708,6.6,72,29.75,10.17
202,20200426T10:00:00Z,60-69,1347,12.56,35,14.46,2.6
203,20200426T10:00:00Z,50-59,1953,18.2,15,6.20,0.77
204,20200426T10:00:00Z,40-49,1421,13.25,3,1.24,0.21
205,20200426T10:00:00Z,30-39,1147,10.69,2,0.83,0.17
206,20200426T10:00:00Z,20-29,2940,27.4,0,0.00,0
207,20200426T10:00:00Z,10-19,586,5.46,0,0.00,0
208,20200426T10:00:00Z,0-9,141,1.31,0,0.00,0
209,20200427T10:00:00Z,남성,4337,40.39,127,52.26,2.93
210,20200427T10:00:00Z,여성,6401,59.61,116,47.74,1.81
211,20200427T10:00:00Z,80 이상,485,4.52,116,47.74,23.92
212,20200427T10:00:00Z,70-79,708,6.59,72,29.63,10.17
213,20200427T10:00:00Z,60-69,1347,12.54,35,14.40,2.6
214,20200427T10:00:00Z,50-59,1953,18.19,15,6.17,0.77
215,20200427T10:00:00Z,40-49,1422,13.24,3,1.23,0.21
216,20200427T10:00:00Z,30-39,1152,10.73,2,0.82,0.17
217,20200427T10:00:00Z,20-29,2943,27.41,0,0.00,0
218,20200427T10:00:00Z,10-19,588,5.48,0,0.00,0
219,20200427T10:00:00Z,0-9,140,1.3,0,0.00,0
220,20200428T10:00:00Z,남성,4344,40.4,128,52.46,2.95
221,20200428T10:00:00Z,여성,6408,59.6,116,47.54,1.81
222,20200428T10:00:00Z,80 이상,485,4.51,116,47.54,23.92
223,20200428T10:00:00Z,70-79,709,6.59,73,29.92,10.3
224,20200428T10:00:00Z,60-69,1348,12.54,35,14.34,2.6
225,20200428T10:00:00Z,50-59,1955,18.18,15,6.15,0.77
226,20200428T10:00:00Z,40-49,1423,13.23,3,1.23,0.21
227,20200428T10:00:00Z,30-39,1154,10.73,2,0.82,0.17
228,20200428T10:00:00Z,20-29,2948,27.42,0,0.00,0
229,20200428T10:00:00Z,10-19,590,5.49,0,0.00,0
230,20200428T10:00:00Z,0-9,140,1.3,0,0.00,0
231,20200429T10:00:00Z,남성,4348,40.41,129,52.44,2.97
232,20200429T10:00:00Z,여성,6413,59.59,117,47.56,1.82
233,20200429T10:00:00Z,80 이상,485,4.51,118,47.97,24.33
234,20200429T10:00:00Z,70-79,709,6.59,73,29.67,10.3
235,20200429T10:00:00Z,60-69,1348,12.53,35,14.23,2.6
236,20200429T10:00:00Z,50-59,1956,18.18,15,6.10,0.77
237,20200429T10:00:00Z,40-49,1426,13.25,3,1.22,0.21
238,20200429T10:00:00Z,30-39,1156,10.74,2,0.81,0.17
239,20200429T10:00:00Z,20-29,2951,27.42,0,0.00,0
240,20200429T10:00:00Z,10-19,590,5.48,0,0.00,0
241,20200429T10:00:00Z,0-9,140,1.3,0,0.00,0
242,20200430T10:00:00Z,남성,4352,40.43,130,52.63,2.99
243,20200430T10:00:00Z,여성,6413,59.57,117,47.37,1.82
244,20200430T10:00:00Z,80 이상,485,4.51,118,47.77,24.33
245,20200430T10:00:00Z,70-79,709,6.59,74,29.96,10.44
246,20200430T10:00:00Z,60-69,1348,12.52,35,14.17,2.6
247,20200430T10:00:00Z,50-59,1956,18.17,15,6.07,0.77
248,20200430T10:00:00Z,40-49,1427,13.26,3,1.21,0.21
249,20200430T10:00:00Z,30-39,1158,10.76,2,0.81,0.17
250,20200430T10:00:00Z,20-29,2952,27.42,0,0.00,0
251,20200430T10:00:00Z,10-19,590,5.48,0,0.00,0
252,20200430T10:00:00Z,0-9,140,1.3,0,0.00,0
253,20200501T10:00:00Z,남성,4356,40.43,130,52.42,2.98
254,20200501T10:00:00Z,여성,6418,59.57,118,47.58,1.84
255,20200501T10:00:00Z,80 이상,486,4.51,118,47.58,24.28
256,20200501T10:00:00Z,70-79,709,6.58,75,30.24,10.58
257,20200501T10:00:00Z,60-69,1348,12.51,35,14.11,2.6
258,20200501T10:00:00Z,50-59,1956,18.15,15,6.05,0.77
259,20200501T10:00:00Z,40-49,1429,13.26,3,1.21,0.21
260,20200501T10:00:00Z,30-39,1159,10.76,2,0.81,0.17
261,20200501T10:00:00Z,20-29,2957,27.45,0,0.00,0
262,20200501T10:00:00Z,10-19,590,5.48,0,0.00,0
263,20200501T10:00:00Z,0-9,140,1.3,0,0.00,0
264,20200502T10:00:00Z,남성,4362,40.46,130,52.00,2.98
265,20200502T10:00:00Z,여성,6418,59.54,120,48.00,1.87
266,20200502T10:00:00Z,80 이상,486,4.51,120,48.00,24.69
267,20200502T10:00:00Z,70-79,709,6.58,75,30.00,10.58
268,20200502T10:00:00Z,60-69,1349,12.51,35,14.00,2.59
269,20200502T10:00:00Z,50-59,1956,18.14,15,6.00,0.77
270,20200502T10:00:00Z,40-49,1430,13.27,3,1.20,0.21
271,20200502T10:00:00Z,30-39,1160,10.76,2,0.80,0.17
272,20200502T10:00:00Z,20-29,2960,27.46,0,0.00,0
273,20200502T10:00:00Z,10-19,590,5.47,0,0.00,0
274,20200502T10:00:00Z,0-9,140,1.3,0,0.00,0
275,20200503T10:00:00Z,남성,4369,40.48,130,52.00,2.98
276,20200503T10:00:00Z,여성,6424,59.52,120,48.00,1.87
277,20200503T10:00:00Z,80 이상,488,4.52,120,48.00,24.59
278,20200503T10:00:00Z,70-79,710,6.58,75,30.00,10.56
279,20200503T10:00:00Z,60-69,1351,12.52,35,14.00,2.59
280,20200503T10:00:00Z,50-59,1956,18.12,15,6.00,0.77
281,20200503T10:00:00Z,40-49,1432,13.27,3,1.20,0.21
282,20200503T10:00:00Z,30-39,1163,10.78,2,0.80,0.17
283,20200503T10:00:00Z,20-29,2962,27.44,0,0.00,0
284,20200503T10:00:00Z,10-19,591,5.48,0,0.00,0
285,20200503T10:00:00Z,0-9,140,1.3,0,0.00,0
286,20200504T10:00:00Z,남성,4375,40.51,131,51.98,2.99
287,20200504T10:00:00Z,여성,6426,59.49,121,48.02,1.88
288,20200504T10:00:00Z,80 이상,488,4.52,120,47.62,24.59
289,20200504T10:00:00Z,70-79,710,6.57,76,30.16,10.7
290,20200504T10:00:00Z,60-69,1353,12.53,36,14.29,2.66
291,20200504T10:00:00Z,50-59,1956,18.11,15,5.95,0.77
292,20200504T10:00:00Z,40-49,1435,13.29,3,1.19,0.21
293,20200504T10:00:00Z,30-39,1164,10.78,2,0.79,0.17
294,20200504T10:00:00Z,20-29,2964,27.44,0,0.00,0
295,20200504T10:00:00Z,10-19,591,5.47,0,0.00,0
296,20200504T10:00:00Z,0-9,140,1.3,0,0.00,0
297,20200505T10:00:00Z,남성,4377,40.51,131,51.57,2.99
298,20200505T10:00:00Z,여성,6427,59.49,123,48.43,1.91
299,20200505T10:00:00Z,80 이상,488,4.52,122,48.03,25
300,20200505T10:00:00Z,70-79,710,6.57,76,29.92,10.7
301,20200505T10:00:00Z,60-69,1353,12.52,36,14.17,2.66
302,20200505T10:00:00Z,50-59,1957,18.11,15,5.91,0.77
303,20200505T10:00:00Z,40-49,1436,13.29,3,1.18,0.21
304,20200505T10:00:00Z,30-39,1165,10.78,2,0.79,0.17
305,20200505T10:00:00Z,20-29,2964,27.43,0,0.00,0
306,20200505T10:00:00Z,10-19,591,5.47,0,0.00,0
307,20200505T10:00:00Z,0-9,140,1.3,0,0.00,0
308,20200506T10:00:00Z,남성,4379,40.52,132,51.76,3.01
309,20200506T10:00:00Z,여성,6427,59.48,123,48.24,1.91
310,20200506T10:00:00Z,80 이상,488,4.52,122,47.84,25
311,20200506T10:00:00Z,70-79,710,6.57,77,30.20,10.85
312,20200506T10:00:00Z,60-69,1354,12.53,36,14.12,2.66
313,20200506T10:00:00Z,50-59,1957,18.11,15,5.88,0.77
314,20200506T10:00:00Z,40-49,1436,13.29,3,1.18,0.21
315,20200506T10:00:00Z,30-39,1166,10.79,2,0.78,0.17
316,20200506T10:00:00Z,20-29,2964,27.43,0,0.00,0
317,20200506T10:00:00Z,10-19,591,5.47,0,0.00,0
318,20200506T10:00:00Z,0-9,140,1.3,0,0.00,0
319,20200507T10:00:00Z,남성,4382,40.54,133,51.95,3.04
320,20200507T10:00:00Z,여성,6428,59.46,123,48.05,1.91
321,20200507T10:00:00Z,80 이상,488,4.51,122,47.66,25
322,20200507T10:00:00Z,70-79,710,6.57,77,30.08,10.85
323,20200507T10:00:00Z,60-69,1354,12.53,37,14.45,2.73
324,20200507T10:00:00Z,50-59,1957,18.1,15,5.86,0.77
325,20200507T10:00:00Z,40-49,1436,13.28,3,1.17,0.21
326,20200507T10:00:00Z,30-39,1167,10.8,2,0.78,0.17
327,20200507T10:00:00Z,20-29,2966,27.44,0,0.00,0
328,20200507T10:00:00Z,10-19,592,5.48,0,0.00,0
329,20200507T10:00:00Z,0-9,140,1.3,0,0.00,0
330,20200508T10:00:00Z,남성,4389,40.56,133,51.95,3.03
331,20200508T10:00:00Z,여성,6433,59.44,123,48.05,1.91
332,20200508T10:00:00Z,80 이상,488,4.51,122,47.66,25
333,20200508T10:00:00Z,70-79,710,6.56,77,30.08,10.85
334,20200508T10:00:00Z,60-69,1355,12.52,37,14.45,2.73
335,20200508T10:00:00Z,50-59,1957,18.08,15,5.86,0.77
336,20200508T10:00:00Z,40-49,1438,13.29,3,1.17,0.21
337,20200508T10:00:00Z,30-39,1174,10.85,2,0.78,0.17
338,20200508T10:00:00Z,20-29,2967,27.42,0,0.00,0
339,20200508T10:00:00Z,10-19,592,5.47,0,0.00,0
340,20200508T10:00:00Z,0-9,141,1.3,0,0.00,0
341,20200509T10:00:00Z,남성,4406,40.65,133,51.95,3.02
342,20200509T10:00:00Z,여성,6434,59.35,123,48.05,1.91
343,20200509T10:00:00Z,80 이상,488,4.5,122,47.66,25
344,20200509T10:00:00Z,70-79,710,6.55,77,30.08,10.85
345,20200509T10:00:00Z,60-69,1355,12.5,37,14.45,2.73
346,20200509T10:00:00Z,50-59,1958,18.06,15,5.86,0.77
347,20200509T10:00:00Z,40-49,1438,13.27,3,1.17,0.21
348,20200509T10:00:00Z,30-39,1177,10.86,2,0.78,0.17
349,20200509T10:00:00Z,20-29,2979,27.48,0,0.00,0
350,20200509T10:00:00Z,10-19,594,5.48,0,0.00,0
351,20200509T10:00:00Z,0-9,141,1.3,0,0.00,0
352,20200510T10:00:00Z,남성,4430,40.74,133,51.95,3
353,20200510T10:00:00Z,여성,6444,59.26,123,48.05,1.91
354,20200510T10:00:00Z,80 이상,488,4.49,122,47.66,25
355,20200510T10:00:00Z,70-79,711,6.54,77,30.08,10.83
356,20200510T10:00:00Z,60-69,1357,12.48,37,14.45,2.73
357,20200510T10:00:00Z,50-59,1960,18.02,15,5.86,0.77
358,20200510T10:00:00Z,40-49,1442,13.26,3,1.17,0.21
359,20200510T10:00:00Z,30-39,1180,10.85,2,0.78,0.17
360,20200510T10:00:00Z,20-29,2998,27.57,0,0.00,0
361,20200510T10:00:00Z,10-19,597,5.49,0,0.00,0
362,20200510T10:00:00Z,0-9,141,1.3,0,0.00,0
363,20200511T10:00:00Z,남성,4461,40.89,133,51.95,2.98
364,20200511T10:00:00Z,여성,6448,59.11,123,48.05,1.91
365,20200511T10:00:00Z,80 이상,488,4.47,122,47.66,25
366,20200511T10:00:00Z,70-79,711,6.52,77,30.08,10.83
367,20200511T10:00:00Z,60-69,1358,12.45,37,14.45,2.72
368,20200511T10:00:00Z,50-59,1960,17.97,15,5.86,0.77
369,20200511T10:00:00Z,40-49,1446,13.26,3,1.17,0.21
370,20200511T10:00:00Z,30-39,1188,10.89,2,0.78,0.17
371,20200511T10:00:00Z,20-29,3019,27.67,0,0.00,0
372,20200511T10:00:00Z,10-19,598,5.48,0,0.00,0
373,20200511T10:00:00Z,0-9,141,1.29,0,0.00,0
374,20200512T10:00:00Z,남성,4481,40.97,133,51.55,2.97
375,20200512T10:00:00Z,여성,6455,59.03,125,48.45,1.94
376,20200512T10:00:00Z,80 이상,489,4.47,124,48.06,25.36
377,20200512T10:00:00Z,70-79,711,6.5,77,29.84,10.83
378,20200512T10:00:00Z,60-69,1358,12.42,37,14.34,2.72
379,20200512T10:00:00Z,50-59,1963,17.95,15,5.81,0.76
380,20200512T10:00:00Z,40-49,1448,13.24,3,1.16,0.21
381,20200512T10:00:00Z,30-39,1194,10.92,2,0.78,0.17
382,20200512T10:00:00Z,20-29,3029,27.7,0,0.00,0
383,20200512T10:00:00Z,10-19,602,5.5,0,0.00,0
384,20200512T10:00:00Z,0-9,142,1.3,0,0.00,0
385,20200513T10:00:00Z,남성,4499,41.04,134,51.74,2.98
386,20200513T10:00:00Z,여성,6463,58.96,125,48.26,1.93
387,20200513T10:00:00Z,80 이상,490,4.47,125,48.26,25.51
388,20200513T10:00:00Z,70-79,712,6.5,77,29.73,10.81
389,20200513T10:00:00Z,60-69,1359,12.4,37,14.29,2.72
390,20200513T10:00:00Z,50-59,1964,17.92,15,5.79,0.76
391,20200513T10:00:00Z,40-49,1450,13.23,3,1.16,0.21
392,20200513T10:00:00Z,30-39,1199,10.94,2,0.77,0.17
393,20200513T10:00:00Z,20-29,3042,27.75,0,0.00,0
394,20200513T10:00:00Z,10-19,603,5.5,0,0.00,0
395,20200513T10:00:00Z,0-9,143,1.3,0,0.00,0
396,20200514T10:00:00Z,남성,4516,41.09,135,51.92,2.99
397,20200514T10:00:00Z,여성,6475,58.91,125,48.08,1.93
398,20200514T10:00:00Z,80 이상,490,4.46,125,48.08,25.51
399,20200514T10:00:00Z,70-79,712,6.48,77,29.62,10.81
400,20200514T10:00:00Z,60-69,1359,12.36,38,14.62,2.8
401,20200514T10:00:00Z,50-59,1964,17.87,15,5.77,0.76
402,20200514T10:00:00Z,40-49,1451,13.2,3,1.15,0.21
403,20200514T10:00:00Z,30-39,1202,10.94,2,0.77,0.17
404,20200514T10:00:00Z,20-29,3056,27.8,0,0.00,0
405,20200514T10:00:00Z,10-19,614,5.59,0,0.00,0
406,20200514T10:00:00Z,0-9,143,1.3,0,0.00,0
407,20200515T10:00:00Z,남성,4532,41.13,135,51.92,2.98
408,20200515T10:00:00Z,여성,6486,58.87,125,48.08,1.93
409,20200515T10:00:00Z,80 이상,490,4.45,125,48.08,25.51
410,20200515T10:00:00Z,70-79,714,6.48,77,29.62,10.78
